//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 5-6-2023
//--  Time: 17:5
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2200 Ohms
//--    Temperature1: 31(F), 	Resistance 1: 5330 Ohms 
//--    Temperature2: 66(F), 	Resistance 2: 2380 Ohms 
//--    Temperature3: 111(F), 	Resistance 3: 1060 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
476	77.02	770 	2.324
477	76.82	768 	2.329
478	76.61	766 	2.334
479	76.41	764 	2.339
480	76.20	762 	2.344
481	76.00	760 	2.349
482	75.79	758 	2.354
483	75.59	756 	2.358
484	75.38	754 	2.363
485	75.18	752 	2.368
486	74.98	750 	2.373
487	74.78	748 	2.378
488	74.57	746 	2.383
489	74.37	744 	2.388
490	74.17	742 	2.393
491	73.97	740 	2.397
492	73.77	738 	2.402
493	73.57	736 	2.407
494	73.37	734 	2.412
495	73.17	732 	2.417
496	72.97	730 	2.422
497	72.77	728 	2.427
498	72.57	726 	2.432
499	72.37	724 	2.437
500	72.17	722 	2.441
501	71.97	720 	2.446
502	71.77	718 	2.451
503	71.57	716 	2.456
504	71.37	714 	2.461
505	71.18	712 	2.466
506	70.98	710 	2.471
507	70.78	708 	2.476
508	70.58	706 	2.480
509	70.39	704 	2.485
510	70.19	702 	2.490
511	69.99	700 	2.495
512	69.80	698 	2.500
513	69.60	696 	2.505
514	69.41	694 	2.510
515	69.21	692 	2.515
516	69.02	690 	2.520
517	68.82	688 	2.524
518	68.63	686 	2.529
519	68.43	684 	2.534
520	68.24	682 	2.539
521	68.04	680 	2.544
522	67.85	679 	2.549
523	67.66	677 	2.554
524	67.46	675 	2.559
525	67.27	673 	2.563
526	67.08	671 	2.568
527	66.88	669 	2.573
528	66.69	667 	2.578
529	66.50	665 	2.583
530	66.31	663 	2.588
531	66.12	661 	2.593
532	65.92	659 	2.598
533	65.73	657 	2.603
534	65.54	655 	2.607
535	65.35	653 	2.612
536	65.16	652 	2.617
537	64.97	650 	2.622
538	64.78	648 	2.627
539	64.59	646 	2.632
540	64.40	644 	2.637
541	64.21	642 	2.642
542	64.02	640 	2.646
543	63.83	638 	2.651
544	63.64	636 	2.656
545	63.45	634 	2.661
546	63.26	633 	2.666
547	63.07	631 	2.671
548	62.88	629 	2.676
549	62.69	627 	2.681
550	62.51	625 	2.686
551	62.32	623 	2.690
552	62.13	621 	2.695
553	61.94	619 	2.700
554	61.75	618 	2.705
555	61.57	616 	2.710
556	61.38	614 	2.715
557	61.19	612 	2.720
558	61.00	610 	2.725
559	60.82	608 	2.729
560	60.63	606 	2.734
561	60.44	604 	2.739
562	60.26	603 	2.744
563	60.07	601 	2.749
564	59.88	599 	2.754
565	59.70	597 	2.759
566	59.51	595 	2.764
567	59.33	593 	2.769
568	59.14	591 	2.773
569	58.96	590 	2.778
570	58.77	588 	2.783
571	58.59	586 	2.788
572	58.40	584 	2.793
573	58.22	582 	2.798
574	58.03	580 	2.803
575	57.85	578 	2.808
576	57.66	577 	2.813
577	57.48	575 	2.817
578	57.29	573 	2.822
579	57.11	571 	2.827
580	56.93	569 	2.832
581	56.74	567 	2.837
582	56.56	566 	2.842
583	56.37	564 	2.847
584	56.19	562 	2.852
585	56.01	560 	2.856
586	55.82	558 	2.861
587	55.64	556 	2.866
588	55.46	555 	2.871
589	55.28	553 	2.876
590	55.09	551 	2.881
591	54.91	549 	2.886
592	54.73	547 	2.891
593	54.55	545 	2.896
594	54.36	544 	2.900
595	54.18	542 	2.905
596	54.00	540 	2.910
597	53.82	538 	2.915
598	53.63	536 	2.920
599	53.45	535 	2.925
600	53.27	533 	2.930
601	53.09	531 	2.935
602	52.91	529 	2.939
603	52.73	527 	2.944
604	52.54	525 	2.949
605	52.36	524 	2.954
606	52.18	522 	2.959
607	52.00	520 	2.964
608	51.82	518 	2.969
609	51.64	516 	2.974
610	51.46	515 	2.979
611	51.28	513 	2.983
612	51.10	511 	2.988
613	50.92	509 	2.993
614	50.74	507 	2.998
615	50.56	506 	3.003
616	50.38	504 	3.008
617	50.20	502 	3.013
618	50.01	500 	3.018
619	49.83	498 	3.022
620	49.65	497 	3.027
621	49.47	495 	3.032
622	49.29	493 	3.037
623	49.11	491 	3.042
624	48.94	489 	3.047
625	48.76	488 	3.052
626	48.58	486 	3.057
627	48.40	484 	3.062
628	48.22	482 	3.066
629	48.04	480 	3.071
630	47.86	479 	3.076
631	47.68	477 	3.081
632	47.50	475 	3.086
633	47.32	473 	3.091
634	47.14	471 	3.096
635	46.96	470 	3.101
636	46.78	468 	3.105
637	46.60	466 	3.110
638	46.42	464 	3.115
639	46.24	462 	3.120
640	46.07	461 	3.125
641	45.89	459 	3.130
642	45.71	457 	3.135
643	45.53	455 	3.140
644	45.35	453 	3.145
645	45.17	452 	3.149
646	44.99	450 	3.154
647	44.81	448 	3.159
648	44.63	446 	3.164
649	44.46	445 	3.169
650	44.28	443 	3.174
651	44.10	441 	3.179
652	43.92	439 	3.184
653	43.74	437 	3.188
654	43.56	436 	3.193
655	43.38	434 	3.198
